Checking GPU memory usage and utilization on 10.96.164.50 (1)
Unable to determine the device handle for GPU0000:1B:00.0: Unknown Error
Checking GPU memory usage and utilization on 10.96.164.51 (2)
memory.used [MiB], memory.total [MiB], utilization.gpu [%]
78471 MiB, 81559 MiB, 99 %
78797 MiB, 81559 MiB, 98 %
78349 MiB, 81559 MiB, 98 %
78435 MiB, 81559 MiB, 99 %
78609 MiB, 81559 MiB, 98 %
78913 MiB, 81559 MiB, 99 %
78247 MiB, 81559 MiB, 98 %
77969 MiB, 81559 MiB, 97 %
Checking GPU memory usage and utilization on 10.96.164.52 (3)
memory.used [MiB], memory.total [MiB], utilization.gpu [%]
14449 MiB, 81559 MiB, 90 %
14491 MiB, 81559 MiB, 89 %
14495 MiB, 81559 MiB, 94 %
14327 MiB, 81559 MiB, 89 %
14451 MiB, 81559 MiB, 89 %
14487 MiB, 81559 MiB, 94 %
14483 MiB, 81559 MiB, 88 %
14323 MiB, 81559 MiB, 93 %
Checking GPU memory usage and utilization on 10.96.164.53 (4)
